store_id,sale_date,gross_sales,net_sales,digital_sales,in_store_sales,transaction_count
S002,2023-01-04,9230.25,8445.09,3052.1,5392.99,539
S003,2023-01-04,7546.52,6934.15,2475.77,4458.38,453
S004,2023-01-04,12986.34,11905.46,4019.67,7885.79,810
S005,2023-01-04,10626.33,9939.57,3237.63,6701.94,801
S006,2023-01-04,12716.71,11712.83,4039.77,7673.06,900
S007,2023-01-04,9204.15,8552.09,2626.75,5925.34,574
S008,2023-01-04,8182.0,7526.13,2491.21,5034.92,517
S009,2023-01-04,10186.82,9411.89,3201.06,6210.84,645
S010,2023-01-04,12948.23,12169.75,3427.15,8742.6,941
S011,2023-01-04,7953.46,7330.38,2251.17,5079.21,461
S012,2023-01-04,9448.95,8804.52,3156.78,5647.73,596
S013,2023-01-04,11793.46,10949.87,3984.72,6965.16,833
S014,2023-01-04,13241.69,12143.74,3719.25,8424.49,759
S015,2023-01-04,12895.1,12083.36,4041.67,8041.69,984
S016,2023-01-04,11721.02,10955.94,3058.54,7897.4,865
S017,2023-01-04,12524.79,11762.44,3235.35,8527.09,890
S018,2023-01-04,11394.31,10652.48,3466.54,7185.94,741
S019,2023-01-04,10979.69,10068.26,3498.09,6570.18,661
S020,2023-01-04,12434.28,11683.57,3785.73,7897.84,766
S021,2023-01-04,9371.48,8771.65,2483.96,6287.69,654
S022,2023-01-04,12639.32,11602.4,3279.72,8322.68,841
S023,2023-01-04,8914.12,8128.85,2559.18,5569.66,599
S024,2023-01-04,7622.3,7076.95,2425.44,4651.51,449
S025,2023-01-04,7542.19,6931.64,2317.48,4614.16,581
S026,2023-01-04,7077.25,6463.22,2205.51,4257.71,469
S027,2023-01-04,11573.88,10644.07,3031.79,7612.28,846
S028,2023-01-04,10448.34,9627.39,3174.53,6452.86,725
S029,2023-01-04,7791.82,7191.11,2511.92,4679.19,571
S030,2023-01-04,10312.11,9651.78,3021.07,6630.7,612
S031,2023-01-04,6899.05,6449.39,1998.49,4450.9,430
S032,2023-01-04,8213.39,7709.15,2610.95,5098.2,558
S033,2023-01-04,6793.48,6199.46,1941.6,4257.87,412
S034,2023-01-04,9067.85,8511.98,2776.34,5735.64,581
S035,2023-01-04,9632.94,9018.44,3283.73,5734.71,660
S036,2023-01-04,7844.46,7211.99,2021.95,5190.04,513
S037,2023-01-04,9138.8,8448.51,2996.92,5451.59,628
S038,2023-01-04,9580.65,8783.39,2748.42,6034.97,615
S039,2023-01-04,12955.76,12031.39,4060.57,7970.82,840
S040,2023-01-04,13217.45,12039.36,3579.63,8459.73,795
S041,2023-01-04,11745.15,10811.77,3115.31,7696.46,858
S042,2023-01-04,9894.38,9292.35,2594.2,6698.15,656
S043,2023-01-04,10309.19,9521.66,2720.73,6800.93,713
S044,2023-01-04,10710.03,10029.94,2864.13,7165.81,678
S045,2023-01-04,8122.33,7411.2,2329.42,5081.77,537
S046,2023-01-04,9595.51,8879.41,2703.93,6175.47,710
S047,2023-01-04,8676.37,8049.88,2597.64,5452.24,610
S048,2023-01-04,8204.69,7516.59,2740.04,4776.55,512
S049,2023-01-04,12030.09,11051.85,3116.6,7935.24,787
S050,2023-01-04,8463.36,7760.08,2528.8,5231.29,530
S001,2023-01-05,9363.42,8632.25,2971.26,5660.99,626
S002,2023-01-05,9284.35,8568.32,2659.97,5908.35,588
S003,2023-01-05,6874.32,6339.16,2324.06,4015.1,504
S004,2023-01-05,12873.03,11854.2,3718.32,8135.88,952
S005,2023-01-05,10684.09,9850.87,2737.21,7113.66,636
S006,2023-01-05,13948.7,12725.28,4241.62,8483.66,897
S007,2023-01-05,8958.94,8361.26,2551.11,5810.16,526
S008,2023-01-05,7275.62,6676.68,1918.54,4758.14,527
S009,2023-01-05,10360.03,9451.04,3450.85,6000.19,644
S010,2023-01-05,13999.3,13025.43,4665.77,8359.66,895
S011,2023-01-05,8450.78,7772.15,2853.14,4919.02,580
S012,2023-01-05,9506.52,8878.04,2922.14,5955.9,664
S013,2023-01-05,10595.43,9788.61,2679.74,7108.87,724
S014,2023-01-05,14236.89,12994.13,4280.37,8713.76,966
S015,2023-01-05,13286.89,12471.44,4288.83,8182.61,1030
S016,2023-01-05,10546.48,9788.71,3133.73,6654.99,614
S017,2023-01-05,12199.78,11398.61,4032.12,7366.49,721
S018,2023-01-05,11118.0,10353.4,3821.43,6531.97,738
S019,2023-01-05,10680.38,9835.75,3558.51,6277.23,727
S020,2023-01-05,10915.37,10139.58,3077.01,7062.57,753
S021,2023-01-05,9993.27,9209.76,2718.72,6491.05,604
S022,2023-01-05,12894.8,11765.8,3957.56,7808.24,749
S023,2023-01-05,9173.48,8528.41,2867.37,5661.05,680
S024,2023-01-05,7996.92,7431.58,2250.64,5180.94,591
S025,2023-01-05,7587.57,7120.27,2632.48,4487.79,461
S026,2023-01-05,7159.56,6519.11,1961.51,4557.6,416
S027,2023-01-05,10718.3,10000.01,2892.01,7108.0,627
S028,2023-01-05,10556.26,9766.98,3164.28,6602.7,656
S029,2023-01-05,7814.68,7266.55,2598.8,4667.74,499
S030,2023-01-05,9781.06,9104.06,3026.87,6077.2,581
S031,2023-01-05,7199.55,6561.03,2010.5,4550.53,447
S032,2023-01-05,8805.79,8220.32,2411.85,5808.48,633
S033,2023-01-05,7675.56,7165.38,2582.38,4582.99,558
S034,2023-01-05,9582.77,8941.52,3109.97,5831.55,632
S035,2023-01-05,9643.66,8822.62,2558.29,6264.33,613
S036,2023-01-05,8062.87,7427.01,2699.19,4727.81,499
S037,2023-01-05,9624.38,8794.18,2448.19,6345.99,689
S038,2023-01-05,10345.39,9442.77,3409.32,6033.45,620
S039,2023-01-05,13160.66,12343.57,3844.9,8498.68,905
S040,2023-01-05,12115.08,11106.33,3352.65,7753.68,899
S041,2023-01-05,11424.01,10510.76,2991.41,7519.34,869
S042,2023-01-05,10015.17,9341.8,2960.52,6381.28,643
S043,2023-01-05,11087.13,10095.61,2943.53,7152.08,807
S044,2023-01-05,10454.13,9756.68,2866.16,6890.52,778
S045,2023-01-05,8351.31,7759.77,2578.43,5181.35,636
S046,2023-01-05,10043.9,9330.37,3055.74,6274.63,622
S047,2023-01-05,8217.79,7478.57,2283.07,5195.5,526
S048,2023-01-05,8778.86,8083.73,2953.31,5130.42,577
S049,2023-01-05,12066.23,11164.03,3036.99,8127.04,725
S050,2023-01-05,8275.49,7716.23,2358.92,5357.3,630
S001,2023-01-06,10133.36,9421.12,2641.37,6779.75,657
S002,2023-01-06,10270.39,9450.37,3159.06,6291.3,614
S003,2023-01-06,7992.8,7508.63,2386.64,5121.99,595
S004,2023-01-06,14650.84,13348.52,3873.19,9475.32,886
S005,2023-01-06,12499.82,11493.18,3459.53,8033.65,847
S006,2023-01-06,13808.6,12833.81,3832.32,9001.49,825
S007,2023-01-06,9644.24,8965.98,2665.78,6300.2,585
S008,2023-01-06,8402.92,7887.77,2397.12,5490.65,620
S009,2023-01-06,11292.75,10400.85,3637.48,6763.37,800
S010,2023-01-06,15081.83,14174.71,4082.96,10091.74,1078
S011,2023-01-06,8218.85,7560.01,2264.71,5295.3,547
S012,2023-01-06,10187.66,9407.42,3223.75,6183.67,598
S013,2023-01-06,12593.09,11624.03,3881.81,7742.22,773
S014,2023-01-06,14486.77,13405.95,4624.92,8781.03,1063
S015,2023-01-06,13504.34,12632.77,4267.46,8365.31,921
S016,2023-01-06,12377.11,11397.64,4159.53,7238.11,942
S017,2023-01-06,12857.71,11874.07,3646.48,8227.58,864
S018,2023-01-06,12829.77,11796.1,3513.69,8282.41,745
S019,2023-01-06,10802.59,9890.65,3182.56,6708.09,638
S020,2023-01-06,13175.59,12074.6,3998.96,8075.64,823
S021,2023-01-06,11665.3,10685.48,3030.11,7655.37,872
S022,2023-01-06,15952.59,14904.75,5466.41,9438.34,941
S023,2023-01-06,10609.81,9880.77,3211.25,6669.52,749
S024,2023-01-06,8980.62,8361.01,2403.03,5957.98,624
S025,2023-01-06,7802.54,7330.91,2560.0,4770.91,561
S026,2023-01-06,7945.76,7342.06,2704.09,4637.97,586
S027,2023-01-06,12705.91,11587.44,3589.97,7997.47,774
S028,2023-01-06,11020.14,10218.39,2887.03,7331.36,770
S029,2023-01-06,8053.76,7441.47,2394.19,5047.28,597
S030,2023-01-06,11400.8,10637.33,3009.33,7627.99,753
S031,2023-01-06,8077.63,7552.11,2430.35,5121.76,577
S032,2023-01-06,8996.2,8442.25,2717.48,5724.78,652
S033,2023-01-06,7459.11,6831.71,2497.91,4333.8,516
S034,2023-01-06,10024.41,9314.98,3066.31,6248.67,645
S035,2023-01-06,10236.29,9506.79,3424.35,6082.44,713
S036,2023-01-06,9346.26,8527.87,3111.43,5416.44,564
S037,2023-01-06,10215.25,9360.48,3062.88,6297.6,657
S038,2023-01-06,10945.27,10170.97,3053.42,7117.55,785
S039,2023-01-06,14328.11,13213.13,4166.82,9046.31,898
S040,2023-01-06,14085.3,12961.37,3685.79,9275.59,843
S041,2023-01-06,11891.1,11173.36,3402.7,7770.66,822
S042,2023-01-06,9948.14,9124.95,2575.54,6549.41,655
S043,2023-01-06,10959.92,9990.17,3641.8,6348.37,635
S044,2023-01-06,12279.16,11473.7,4169.26,7304.45,777
S045,2023-01-06,9121.55,8344.22,3084.0,5260.22,605
S046,2023-01-06,10361.89,9551.56,3015.65,6535.91,732
S047,2023-01-06,9420.32,8586.24,2559.87,6026.38,600
S048,2023-01-06,9336.39,8498.41,2385.93,6112.48,671
S049,2023-01-06,12340.38,11365.16,3526.9,7838.26,939
S050,2023-01-06,9089.05,8349.73,2577.02,5772.71,607
S001,2023-01-07,11742.86,10976.74,2769.7,8207.05,761
S002,2023-01-07,11424.83,10734.81,2638.44,8096.38,799
S003,2023-01-07,8210.96,7620.37,1753.74,5866.63,634
S004,2023-01-07,15950.03,14763.02,3024.86,11738.17,949
S005,2023-01-07,12489.71,11714.62,2598.92,9115.69,856
S006,2023-01-07,16592.34,15351.55,3699.29,11652.27,1093
S007,2023-01-07,11519.86,10647.2,2040.68,8606.52,803
S008,2023-01-07,9145.83,8569.31,2375.5,6193.81,593
S009,2023-01-07,12362.2,11348.07,2900.1,8447.97,711
S010,2023-01-07,15830.28,14633.72,3547.55,11086.17,981
S011,2023-01-07,10023.57,9235.77,2513.67,6722.11,705
S012,2023-01-07,10895.46,10059.03,2332.47,7726.56,733
S013,2023-01-07,13176.02,12188.54,3061.12,9127.41,882
S014,2023-01-07,16749.95,15503.1,3815.14,11687.96,962
S015,2023-01-07,15981.2,14723.55,4206.06,10517.5,1057
S016,2023-01-07,13785.17,12903.33,3330.02,9573.31,846
S017,2023-01-07,14493.12,13399.26,3828.62,9570.64,1018
S018,2023-01-07,15478.42,14443.46,3762.38,10681.08,989
S019,2023-01-07,12813.03,11844.29,2914.27,8930.02,751
S020,2023-01-07,14353.24,13295.34,3717.06,9578.28,975
S021,2023-01-07,11831.44,11041.01,2259.52,8781.49,909
S022,2023-01-07,17523.23,16290.98,4312.77,11978.21,1266
S023,2023-01-07,12024.96,11040.53,2718.2,8322.33,850
S024,2023-01-07,9323.23,8498.34,2383.94,6114.4,663
S025,2023-01-07,8664.56,7910.79,1764.34,6146.45,568
S026,2023-01-07,9291.66,8728.0,1796.17,6931.83,594
S027,2023-01-07,14085.27,13018.61,3320.45,9698.16,865
S028,2023-01-07,11615.28,10837.77,2766.12,8071.65,842
S029,2023-01-07,9816.04,9183.0,1779.02,7403.98,577
S030,2023-01-07,13249.83,12071.79,3303.09,8768.7,801
S031,2023-01-07,8145.49,7595.42,2105.67,5489.75,581
S032,2023-01-07,10525.72,9871.59,2206.34,7665.25,715
S033,2023-01-07,8965.07,8299.23,2314.87,5984.36,657
S034,2023-01-07,12298.7,11313.83,2976.8,8337.03,775
S035,2023-01-07,12265.0,11166.33,2498.03,8668.3,845
S036,2023-01-07,10016.72,9307.16,2145.76,7161.4,675
S037,2023-01-07,11433.41,10541.89,2103.51,8438.38,650
S038,2023-01-07,11229.5,10348.07,2428.42,7919.65,793
S039,2023-01-07,14872.19,13793.57,3410.98,10382.59,1054
S040,2023-01-07,16068.83,14846.99,3058.06,11788.93,1009
S041,2023-01-07,14332.06,13423.89,3583.97,9839.93,901
S042,2023-01-07,11460.66,10505.14,3001.7,7503.44,745
S043,2023-01-07,12718.38,11951.02,2717.21,9233.81,814
S044,2023-01-07,13437.64,12561.08,3343.58,9217.5,848
S045,2023-01-07,10717.74,10006.3,2427.04,7579.27,701
S046,2023-01-07,11530.1,10779.07,3021.25,7757.82,850
S047,2023-01-07,10380.5,9497.49,2616.07,6881.42,686
S048,2023-01-07,10658.41,9986.58,2342.33,7644.24,809
S049,2023-01-07,13424.0,12383.14,3051.1,9332.05,867
S050,2023-01-07,9590.25,8800.34,1674.72,7125.62,679
S001,2023-01-08,10604.9,9785.25,2544.54,7240.71,700
S002,2023-01-08,12015.62,11104.38,2428.63,8675.75,876
S003,2023-01-08,7931.4,7370.22,1937.84,5432.38,457
S004,2023-01-08,14690.76,13772.78,3136.75,10636.04,1125
S005,2023-01-08,13548.45,12684.55,2578.76,10105.8,833
S006,2023-01-08,15603.32,14258.63,4104.67,10153.96,940
S007,2023-01-08,11440.99,10747.15,2539.56,8207.59,718
S008,2023-01-08,8746.68,8080.35,1660.61,6419.74,635
S009,2023-01-08,12416.5,11584.16,2238.31,9345.85,782
S010,2023-01-08,17227.24,15801.17,3108.55,12692.62,1091
S011,2023-01-08,9266.0,8618.87,2389.33,6229.54,669
S012,2023-01-08,11076.39,10330.19,2764.43,7565.77,823
S013,2023-01-08,14213.71,13034.32,3670.98,9363.34,903
S014,2023-01-08,16449.03,15085.52,4188.13,10897.39,942
S015,2023-01-08,15550.3,14343.7,3119.98,11223.73,1001
S016,2023-01-08,12420.96,11556.0,2837.98,8718.02,943
S017,2023-01-08,14180.4,13177.84,3006.07,10171.77,933
S018,2023-01-08,13631.18,12479.57,3042.43,9437.14,957
S019,2023-01-08,11934.78,11167.69,2283.07,8884.62,811
S020,2023-01-08,13580.67,12574.34,2877.53,9696.8,967
S021,2023-01-08,11419.17,10418.54,2448.13,7970.4,763
S022,2023-01-08,14994.49,13814.64,3460.53,10354.12,1134
S023,2023-01-08,10455.04,9766.47,2429.49,7336.98,665
S024,2023-01-08,9892.49,9092.15,2553.98,6538.17,711
S025,2023-01-08,8328.29,7764.0,2055.04,5708.96,523
S026,2023-01-08,8678.97,8001.14,1711.71,6289.43,598
S027,2023-01-08,12541.35,11588.05,2953.47,8634.58,869
S028,2023-01-08,11916.43,11130.95,2919.0,8211.96,747
S029,2023-01-08,8955.98,8204.52,1815.6,6388.93,678
S030,2023-01-08,11263.2,10436.47,2592.45,7844.02,695
S031,2023-01-08,8004.03,7330.78,1561.47,5769.31,513
S032,2023-01-08,10659.3,9807.91,2612.2,7195.71,709
S033,2023-01-08,8769.04,8174.39,1929.83,6244.56,545
S034,2023-01-08,11476.8,10507.25,2930.86,7576.4,660
S035,2023-01-08,12247.43,11337.67,3105.47,8232.2,922
S036,2023-01-08,8880.83,8118.19,2054.47,6063.72,660
S037,2023-01-08,10777.92,9878.62,2327.41,7551.21,799
S038,2023-01-08,12341.01,11474.41,2198.19,9276.22,803
S039,2023-01-08,14553.16,13250.68,3474.58,9776.09,935
S040,2023-01-08,15605.92,14402.97,4090.03,10312.94,1138
S041,2023-01-08,13852.89,12824.06,2745.59,10078.47,885
S042,2023-01-08,11760.7,10730.12,3068.06,7662.06,780
S043,2023-01-08,11934.36,11109.9,2444.15,8665.75,739
S044,2023-01-08,12731.53,11597.79,2673.61,8924.18,866
S045,2023-01-08,10194.76,9471.97,2465.41,7006.57,772
S046,2023-01-08,11513.72,10815.07,3108.08,7706.99,688
S047,2023-01-08,10575.05,9696.19,2716.17,6980.02,652
S048,2023-01-08,10938.23,10178.39,2219.27,7959.12,716
S049,2023-01-08,13992.26,12808.25,3522.82,9285.43,1062
S050,2023-01-08,10387.75,9708.67,2746.46,6962.21,738
S001,2023-01-09,9644.16,8940.15,3173.25,5766.89,603
S002,2023-01-09,9853.86,9200.7,3118.4,6082.29,745
S003,2023-01-09,7326.45,6743.08,1886.5,4856.58,527
S004,2023-01-09,12740.05,11821.09,4337.06,7484.02,891
S005,2023-01-09,10983.61,10253.27,3230.35,7022.93,789
S006,2023-01-09,12833.52,11904.06,3666.54,8237.53,787
S007,2023-01-09,9091.92,8340.87,2313.34,6027.52,631
S008,2023-01-09,7331.13,6757.02,2068.12,4688.9,552
S009,2023-01-09,10617.29,9803.39,3393.29,6410.1,794
S010,2023-01-09,13955.72,12914.25,3620.24,9294.01,1047
S011,2023-01-09,7971.93,7397.21,2577.51,4819.7,483
S012,2023-01-09,9699.65,9037.6,2945.84,6091.76,566
S013,2023-01-09,10861.3,10053.58,3403.45,6650.13,792
S014,2023-01-09,12683.52,11605.63,3453.79,8151.84,883
S015,2023-01-09,13659.09,12577.75,4583.61,7994.14,838
S016,2023-01-09,10962.74,10020.66,2712.36,7308.3,737
S017,2023-01-09,12872.41,11860.6,4224.98,7635.62,853
S018,2023-01-09,12136.11,11260.27,3378.57,7881.7,785
S019,2023-01-09,10806.27,9989.0,2874.47,7114.53,731
S020,2023-01-09,11861.83,11138.65,3878.45,7260.2,844
S021,2023-01-09,9607.93,8969.73,2749.24,6220.49,575
S022,2023-01-09,12950.9,12083.56,3295.09,8788.47,826
S023,2023-01-09,10008.28,9170.48,3207.55,5962.94,607
S024,2023-01-09,8259.12,7682.54,2181.21,5501.33,585
S025,2023-01-09,7122.59,6514.5,2034.56,4479.94,475
S026,2023-01-09,7233.4,6698.35,2427.15,4271.21,434
S027,2023-01-09,10835.8,9872.53,3621.67,6250.86,669
S028,2023-01-09,10735.65,9804.67,2890.64,6914.03,662
S029,2023-01-09,7422.07,6890.5,2248.52,4641.98,464
S030,2023-01-09,9997.14,9336.2,2619.69,6716.51,742
S031,2023-01-09,6711.52,6257.86,2038.81,4219.05,425
S032,2023-01-09,8461.27,7872.26,2669.04,5203.22,629
S033,2023-01-09,7707.95,7125.87,2134.51,4991.37,462
